Title,Description,Topic
PHP_CodeSniffer,PHP_CodeSniffer tokenizes PHP files and detects violations of a defined set of coding standards.,automation
scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",scraping
colly,Elegant Scraper and Crawler Framework for Golang,scraping
requests-html,Pythonic HTML Parsing for Humans™,scraping
webmagic,A scalable web crawler framework for Java.,scraping
crawlee,Crawlee—A web scraping and browser automation library for Node.js that helps you build reliable crawlers. Fast.,scraping
tabula,Tabula is a tool for liberating data tables trapped inside PDF files,scraping
awesome-web-scraping,"List of libraries, tools and APIs for web scraping and data processing.",scraping
headless-chrome-crawler,Distributed crawler powered by Headless Chrome,scraping
ferret,Declarative web scraping,scraping
autoscraper,"A Smart, Automatic, Fast and Lightweight Web Scraper for Python",scraping
mechanize,Mechanize is a ruby library that makes automated web interaction easy.,scraping
undetected-chromedriver,Custom Selenium Chromedriver | Zero-Config | Passes ALL bot mitigation systems (like Distil / Imperva/ Datadadome / CloudFlare IUAM),scraping
Data-science,"Collection of useful data science topics along with articles, videos, and code",scraping
fake-useragent,Up-to-date simple useragent faker with real world database,scraping
Automatic-Udemy-Course-Enroller-GET-PAID-UDEMY-COURSES-for-FREE,"Do you want to LEARN NEW STUFF for FREE? Don't worry, with the power of web-scraping and automation, this script will find the necessary Udemy coupons & enroll you for PAID UDEMY COURSES, ABSOLUTELY FREE!",scraping
panther,A browser testing and web crawling library for PHP and Symfony,scraping
GoogleScraper,"A Python module to scrape several search engines (like Google, Yandex, Bing, Duckduckgo, ...). Including asynchronous networking support.",scraping
thal,Getting started with Puppeteer and Chrome Headless for Data Mining,scraping
grab,Web Scraping Framework,scraping
awesome-puppeteer,A curated list of awesome puppeteer resources.,scraping
scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",crawling
colly,Elegant Scraper and Crawler Framework for Golang,crawling
newspaper,"News, full-text, and article metadata extraction in Python 3. Advanced docs:",crawling
crawlee,Crawlee—A web scraping and browser automation library for Node.js that helps you build reliable crawlers. Fast.,crawling
awesome-web-scraping,"List of libraries, tools and APIs for web scraping and data processing.",crawling
headless-chrome-crawler,Distributed crawler powered by Headless Chrome,crawling
ferret,Declarative web scraping,crawling
hakrawler,"Simple, fast web crawler designed for easy, quick discovery of endpoints and assets within a web application",crawling
rod,A Devtools driver for web automation and scraping,crawling
nutch,Apache Nutch is an extensible and scalable web crawler,crawling
grab,Web Scraping Framework,crawling
awesome-puppeteer,A curated list of awesome puppeteer resources.,crawling
skycaiji,蓝天采集器是一款开源免费的爬虫系统，仅需点选编辑规则即可采集数据，可运行在本地、虚拟主机或云服务器中，几乎能采集所有类型的网页，无缝对接各类CMS建站程序，免登录实时发布数据，全自动无需人工干预！是网页大数据采集软件中完全跨平台的云端爬虫系统,crawling
core,The complete web scraping toolkit for PHP.,crawling
Lulu,[Unmaintained] A simple and clean video/music/image downloader 👾,crawling
mlscraper,🤖 Scrape data from HTML websites automatically by just providing examples,crawling
scrapy-selenium,Scrapy middleware to handle javascript pages using selenium,crawling
scrapyrt,HTTP API for Scrapy spiders ,crawling
bhban_rpa,"<6개월 치 업무를 하루 만에 끝내는 업무 자동화(생능출판사, 2020)>의 예제 코드입니다. 파이썬을 한 번도 배워본 적 없는 분들을 위한 예제이며, 엑셀부터 디자인, 매크로, 크롤링까지 업무 자동화와 관련된 다양한 분야 예제가 제공됩니다.",crawling
easy-scraping-tutorial,Simple but useful Python web scraping tutorial code. ,crawling
scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",crawler
lux,👾 Fast and simple video download library and CLI tool written in Go,crawler
colly,Elegant Scraper and Crawler Framework for Golang,crawler
proxy_pool,Python爬虫代理IP池(proxy pool),crawler
pyspider,A Powerful Spider(Web Crawler) System in Python.,crawler
newspaper,"News, full-text, and article metadata extraction in Python 3. Advanced docs:",crawler
examples-of-web-crawlers,"一些非常有趣的python爬虫例子,对新手比较友好,主要爬取淘宝、天猫、微信、微信读书、豆瓣、QQ等网站。(Some interesting examples of python crawlers that are friendly to beginners. )",crawler
webmagic,A scalable web crawler framework for Java.,crawler
crawlab,Distributed web crawler admin platform for spiders management regardless of languages and frameworks. 分布式爬虫管理平台，支持任何语言和框架,crawler
Photon,Incredibly fast crawler designed for OSINT.,crawler
avbook,"AV 电影管理系统， avmoo , javbus , javlibrary 爬虫，线上 AV 影片图书馆，AV 磁力链接数据库，Japanese Adult Video Library,Adult Video Magnet Links - Japanese Adult Video Database",crawler
Python,Python脚本。模拟登录知乎， 爬虫，操作excel，微信公众号，远程开机,crawler
spider-flow,新一代爬虫平台，以图形化方式定义爬虫流程，不写代码即可完成爬虫。,crawler
crawlee,Crawlee—A web scraping and browser automation library for Node.js that helps you build reliable crawlers. Fast.,crawler
node-crawler,Web Crawler/Spider for NodeJS + server-side jQuery ;-),crawler
awesome-web-scraping,"List of libraries, tools and APIs for web scraping and data processing.",crawler
WechatSogou,基于搜狗微信搜索的微信公众号爬虫接口,crawler
katana,A next-generation crawling and spidering framework.,crawler
awesome-crawler,"A collection of awesome web crawler,spider in different languages",crawler
headless-chrome-crawler,Distributed crawler powered by Headless Chrome,crawler
ferret,Declarative web scraping,scraping-websites
cloudflare-scrape,A Python module to bypass Cloudflare's anti-bot page.,scraping-websites
Edu-Mail-Generator,Generate Free Edu Mail(s) within minutes,scraping-websites
thal,译文：Puppeteer 与 Chrome Headless —— 从入门到爬虫,scraping-websites
crawly,"Crawly, a high-level web crawling & scraping framework for Elixir. ",scraping-websites
Python_and_the_Web,"Build Bots, Scrape a website or use an API to solve a problem.",scraping-websites
dataflowkit,Extract structured data from web sites. Web sites scraping. ,scraping-websites
sarenka,"OSINT tool - gets data from services like shodan, censys etc. in one app",scraping-websites
python-automation-scripts,Simple yet powerful automation stuffs.,scraping-websites
tinking,"🧶 Extract data from any website without code, just clicks.",scraping-websites
PHPScraper,A universal web-util for PHP.,scraping-websites
linkedin-profile-scraper,🕵️‍♂️ LinkedIn profile scraper returning structured profile data in JSON. Works in 2020.,scraping-websites
gophie,An Aggregator Engine for searching and downloading movies free - NO ADs!,scraping-websites
requests-html,Pythonic HTML Parsing for Humans™,scraping-websites
web-scraping,More than 50 web scraping examples using: Requests | Scrapy | Selenium | LXML | BeautifulSoup,scraping-websites
pupflare,A webpage proxy that request through Chromium (puppeteer) - can be used to bypass Cloudflare anti bot / anti ddos on any application (like curl),scraping-websites
CloudflareSolverRe,Cloudflare Javascript & reCaptcha challenge (I'm Under Attack Mode or IUAM) solving / bypass .NET Standard library.,scraping-websites
Email-extractor,The main functionality is to extract all the emails from one or several URLs - La funcionalidad principal es extraer todos los correos electrónicos de una o varias Url,scraping-websites
ebayMarketAnalyzer,"Scrape all eBay sold listings to determine average/median pricing, plot listings over time with trend lines, and extract to excel",scraping-websites
seleniumcrawler,An example using Selenium webdrivers for python and Scrapy framework to create a web scraper to crawl an ASP site,scraping-websites
